reported_date,issue_id,issue_title,issue_description,car_id,car_component
2021_09_29,b94f1c96-ec95-4f8f-9077-099d254b7811,Failing Hydraulic Lifters,"Hydraulic lifters are worn or failing, causing engine noise and performance issues.",CAR-ID:855278a7,Engine
2021_06_04,65e7ec69-bd7a-49f4-9a8f-d035c467cdfd,Worn Strut Bearings,"Strut bearings are worn, causing noise and affecting steering and suspension.",CAR-ID:03d0072f,Suspension
2019_12_13,815dfd9b-5710-442c-986d-cc98ec32cba0,Damaged Steering Rack Bushings,"The bushings are worn, leading to loose steering and potential leaks.",CAR-ID:2c196483,Steering System
2021_10_25,42e5fb1d-902d-41e1-a57e-67cba99d3432,Uneven Tire Wear,"Tires are wearing down unevenly, which could indicate alignment issues.",CAR-ID:c29b04d7,Tires/Suspension
2020_09_29,54af4162-c1be-4e3b-86a4-7cc83b9abd7b,Deteriorating Hoses,Rubber hoses in the engine bay are cracking or leaking.,CAR-ID:afbf377e,Engine
2021_06_29,6bdfd19d-df07-4ac5-a997-6cd47ce3f165,Damaged Flexplate,"The flexplate is cracked or damaged, causing starter engagement issues.",CAR-ID:519a472e,Engine
2020_01_24,778571ec-5877-442a-aaa0-a846bb819dcf,Faulty Air Suspension,"The air suspension system is leaking or not operating correctly, affecting ride quality.",CAR-ID:b89f0a21,Suspension
2021_12_08,0323c1e8-d8ec-4641-ac09-12c2464e126b,Failing Wheel Bearing,"A wheel bearing is damaged, causing noise and vibration while driving.",CAR-ID:746b38be,Wheel Assembly
2021_10_22,68ca5866-0691-4422-bb64-56df66897a6b,Damaged Flywheel,"The flywheel is cracked or damaged, affecting clutch operation and engine balance.",CAR-ID:8a72dd3d,Engine
2019_04_23,f005a2f0-a105-4d73-828c-226c4415632e,Damaged Engine Valves,"The engine valves are damaged, leading to poor engine performance and possible misfires.",CAR-ID:f328879b,Engine
2023_08_02,5239bc86-b1ee-4564-9bc1-366a9e29b506,Damaged Turbocharger Seals,"The seals in the turbocharger are leaking, causing oil leaks and reduced performance.",CAR-ID:616f5e69,Engine
2021_05_01,b2fcb5bf-1baf-4150-93e7-3d4d2efdbc0a,Faulty Ignition Coil,"An ignition coil is failing, causing misfires and poor engine performance.",CAR-ID:a1389f83,Ignition System
2023_01_06,1b9d7bed-0c40-4f68-9e76-b6bc08cc0579,Dirty Fuel Injectors,"Fuel injectors are clogged or dirty, affecting engine performance.",CAR-ID:f3dedc16,Fuel System
2020_06_06,6070287e-4e09-4739-b396-0ff171658b8f,Failing Variable Valve Timing (VVT) Solenoid,"The VVT solenoid is malfunctioning, affecting engine timing and performance.",CAR-ID:02a43768,Engine
2019_08_17,39770274-acaf-4bf9-9fb7-95aa03e23b53,Faulty EGR Valve,"The exhaust gas recirculation (EGR) valve is not working properly, affecting emissions and engine performance.",CAR-ID:86eaec25,Exhaust System
2022_03_25,ad40da90-1244-4173-9ad6-e4ab1eeef5ff,Failing Drive Belt Tensioner,"The tensioner is not maintaining proper belt tension, leading to slippage and noise.",CAR-ID:ccb59ad1,Engine Belts
2020_06_22,fddfacec-f5a9-4d37-b563-acd1c6ca884a,Worn Tie Rod Ends,"Tie rod ends are worn, affecting steering and wheel alignment.",CAR-ID:f0b6e2c9,Steering System
2021_12_16,0de1f15f-b484-4bf5-b83c-147d8ba00472,Malfunctioning Car Alarm,The car alarm is going off randomly or not functioning when needed.,CAR-ID:b2d4f82b,Electrical System
2020_05_07,5efb2e70-2e12-4857-af1e-11c05413953a,Faulty Transmission Control Module,"The transmission control module is malfunctioning, leading to shifting problems.",CAR-ID:07905f77,Transmission
2020_05_29,9dcc7f36-9a4b-4fd0-88a9-b6902f844336,Broken Horn,"The car's horn is not functioning, which can be a safety issue.",CAR-ID:98a45210,Electrical System
2020_07_25,07c35063-d73b-4bfa-bb75-c42f9a6aa03b,Leaking Power Steering Fluid,"Power steering fluid is leaking, leading to difficult steering.",CAR-ID:36fb07f6,Steering System
2021_09_04,d7cd9e39-ca2d-4203-8de7-e09d963cb73c,Inoperative Cruise Control,The cruise control system is not maintaining set speed or not engaging at all.,CAR-ID:943fa730,Electrical System
2020_12_19,999da96c-66fe-4821-940b-7b887d996c06,Worn Suspension Components,Suspension parts like shocks or struts are worn and need replacement.,CAR-ID:63077cf5,Suspension
2022_07_22,82fac727-a29e-4778-b884-48be04c22110,Broken Coil Springs,A coil spring in the suspension system has snapped or is damaged.,CAR-ID:f398fcb0,Suspension
2024_02_10,e060f154-060a-4da9-a96b-3f9db6c81c42,Worn Spark Plug Wires,"Spark plug wires are worn or damaged, causing misfires and engine performance issues.",CAR-ID:afd805e2,Ignition System
2023_04_27,819098fa-10fb-4cd2-a94d-874c00cee925,Worn Tie Rod Ends,"Tie rod ends are worn, affecting steering and wheel alignment.",CAR-ID:a7addfa0,Steering System
2019_03_17,7075eb9c-516c-47f2-8cea-c975c7d7e481,Faulty EGR Valve,"The exhaust gas recirculation (EGR) valve is not working properly, affecting emissions and engine performance.",CAR-ID:c1e2297c,Exhaust System
2021_12_26,0f1db024-d8e4-43c3-a0d0-68918b83a5b8,Malfunctioning Differential Lock,"The differential lock is not engaging or disengaging properly, affecting traction.",CAR-ID:61b87c1c,Drivetrain
2019_09_26,3522e202-b351-46da-91e6-fb64ad084b76,Leaking Brake Fluid,"Brake fluid is leaking from the system, leading to reduced braking power.",CAR-ID:4cc72a3b,Brakes
2022_02_18,27dfee1a-9d75-4e08-b5bd-9f3d0c28b0e8,Dirty Fuel Injectors,"Fuel injectors are clogged or dirty, affecting engine performance.",CAR-ID:740760a0,Fuel System
2019_12_08,b8b449c1-8a31-4b52-b4aa-f22edc81f381,Sticking Brake Caliper,"A brake caliper is sticking, causing reduced braking power and uneven wear.",CAR-ID:519a472e,Brakes
2023_10_21,63dff5f8-9b83-47f6-9dd5-d86b60c5c20a,Cracked Serpentine Belt,The serpentine belt has cracks and is at risk of breaking.,CAR-ID:4ae1eae1,Engine Belts
2023_12_18,28408a15-6384-42ce-b5ce-5f2b19610c9d,Broken Coil Springs,A coil spring in the suspension system has snapped or is damaged.,CAR-ID:7767d435,Suspension
2023_05_21,bd2b1821-e2cd-495a-b8c0-d7121ac92f29,Broken Axle,"An axle is bent or broken, severely affecting the vehicle's ability to move.",CAR-ID:97a2e84f,Drivetrain
2021_07_02,3fe5233f-32c1-4914-b91a-cb4b83210975,Malfunctioning Body Control Module,The module that controls various electronic functions in the car is failing.,CAR-ID:f3dedc16,Electrical System
2021_10_12,7dfd58d2-bb6b-4b05-a697-1cc805d7dccb,Worn Suspension Components,Suspension parts like shocks or struts are worn and need replacement.,CAR-ID:6400665f,Suspension
2023_04_15,dcfd5694-6298-4e1e-9a95-ff711ab69559,Broken Motor Mounts,"Motor mounts are damaged, leading to excessive engine vibration and movement.",CAR-ID:125e885d,Engine
2021_11_07,9dc176b2-0c15-4e53-a8b8-a9dc2d6f45b3,Damaged Ignition Switch,"The ignition switch is faulty, causing issues with starting the car or electrical malfunctions.",CAR-ID:37a7e1ad,Electrical System
2019_08_28,72e30ed4-adb6-421a-a0b7-ad82c907816a,Broken Window Regulator,The mechanism that raises and lowers the window is broken.,CAR-ID:606564c0,Electrical System
2022_09_30,7f779349-df82-4f04-89c1-8f8e5d4cc37c,Alternator Failure,The alternator is not charging the battery while the car is running.,CAR-ID:cafa3980,Electrical System
2019_11_27,ed5d693c-0d23-4e97-aa8b-766a328a6e0e,Leaking Radiator,"The radiator is leaking coolant, which can lead to engine overheating.",CAR-ID:9d98b9aa,Cooling System
2020_09_06,1a8ea814-d699-4da3-b7d6-b8e81ddb99c9,Worn Out Engine Bearings,"Engine bearings are worn, leading to engine noise and potential failure.",CAR-ID:1cee1d49,Engine
2020_11_03,b1c71046-91af-4143-846f-e98c89fbd5da,Malfunctioning Body Control Module,The module that controls various electronic functions in the car is failing.,CAR-ID:519a472e,Electrical System
2022_04_19,22754b88-d0a7-4a32-84e9-01f776645343,Malfunctioning Manifold Absolute Pressure Sensor,"The MAP sensor is not accurately measuring air pressure, affecting engine performance.",CAR-ID:f6d32259,Engine
2021_03_01,e11c345c-cd33-4212-beeb-62dfc9998dda,Faulty Blower Motor,"The blower motor for the HVAC system is not working, affecting air circulation.",CAR-ID:8781e35c,HVAC System
2023_07_03,3ee64214-e5c6-422c-9d01-34da88374977,Stuck Brake Pads,"Brake pads are not releasing from the disc fully, causing drag and wear.",CAR-ID:7b698e9c,Brakes
2023_09_23,8f36988b-4008-4a29-be96-1e92ca8e2ee5,Failing Powertrain Control Module (PCM),"The PCM is malfunctioning, affecting engine and transmission performance.",CAR-ID:c23cbfe5,Electrical System
2023_04_05,80426f74-9cb8-4dc0-bd73-a5f62553224f,Failing Clutch Fork,"The clutch fork is damaged or worn, leading to engagement and disengagement issues.",CAR-ID:9c55db0b,Clutch
2023_02_03,c3f36883-3c74-49c6-9dd7-e074e3855704,Faulty Throttle Position Sensor,"The sensor is not accurately tracking throttle position, affecting acceleration.",CAR-ID:299ffbea,Engine
2020_06_14,5d082042-27b4-4ffe-befd-f230c6c6921f,Deteriorating Hoses,Rubber hoses in the engine bay are cracking or leaking.,CAR-ID:b9421afb,Engine
2022_08_14,653c2561-0c52-4441-beab-faad03c47a34,Faulty Blower Motor,"The blower motor for the HVAC system is not working, affecting air circulation.",CAR-ID:4f345e8c,HVAC System
2019_08_23,892290cd-519e-472a-b923-d207250d3b0f,Malfunctioning Body Control Module,The module that controls various electronic functions in the car is failing.,CAR-ID:471f691c,Electrical System
2020_11_07,6f0154c5-31b0-4aef-8bf4-5025c805dfc0,Failing Oil Pump,"The oil pump is not circulating oil properly, risking engine damage due to poor lubrication.",CAR-ID:a291f33f,Engine
2021_08_13,934fb0ac-687f-4e37-91a8-23de79d08e76,Damaged Dashboard,The dashboard is cracked or damaged due to sun exposure or age.,CAR-ID:7abae151,Interior
2021_06_28,6d4cf6c8-dc4c-48ac-9713-c6de64134770,Failing Airbag Control Module,"The control module is not functioning properly, which may affect airbag deployment.",CAR-ID:e1484bad,Safety System
2020_04_07,712c5a02-d85c-45e8-9594-a40ae87ad7c8,Brake Pad Wear,The brake pads have worn down and need replacement.,CAR-ID:c2ffe4bd,Brakes
2020_11_30,9fe1648a-66cb-42f2-b7a4-1ad80dc1bdad,Failing Oil Pump,"The oil pump is not circulating oil properly, risking engine damage due to poor lubrication.",CAR-ID:bda05f9b,Engine
2020_06_19,82c0391b-288f-450f-8fa7-8b352342de3e,Failing Transmission Solenoids,"Transmission solenoids are failing, causing shifting problems.",CAR-ID:4b0f3962,Transmission
2023_07_20,13251170-72d9-4122-a36f-1496625f7600,Electrical System Malfunction,Electrical components such as lights or indicators are not working.,CAR-ID:238b2a8e,Electrical System
2022_02_01,f8efbe29-0cdf-45de-b18e-d9a5d3e519d4,Failing Turbocharger,"The turbocharger is not boosting engine power as it should, possibly due to leaks or damage.",CAR-ID:1c354643,Engine
2020_07_11,440d5cd9-111e-43d2-b563-df42ef7f38fa,Malfunctioning Sunroof,"The sunroof will not open or close properly, or it leaks.",CAR-ID:ff14e2ba,Body/Exterior
2020_01_05,a9a766d2-3b3c-4a8d-b095-64b77be06576,Failing Turbocharger,"The turbocharger is not boosting engine power as it should, possibly due to leaks or damage.",CAR-ID:a6c83ab6,Engine
2022_05_13,55291698-66c1-48c8-9281-9dc5758ba46d,Failing Powertrain Control Module (PCM),"The PCM is malfunctioning, affecting engine and transmission performance.",CAR-ID:d99a3b7c,Electrical System
2021_06_02,80351fb8-072e-4f1e-8ac0-b6cf916b43bb,Blown Head Gasket,"The head gasket is damaged, leading to coolant and oil leaks.",CAR-ID:61b87c1c,Engine
2021_03_17,f7fcc8d0-ce02-4879-adb3-fd2d5e6a042e,Faulty Brake Booster,"The brake booster is not providing enough power assistance, making braking hard.",CAR-ID:6efcaf79,Brakes
2022_06_13,9d0b97aa-e53f-4cdf-8ad3-8993ff2806ce,Cracked Serpentine Belt,The serpentine belt has cracks and is at risk of breaking.,CAR-ID:17f29fae,Engine Belts
2021_04_28,b5d7c6b6-5c86-4e01-a12f-af7da8ccc673,Malfunctioning Throttle Body,"The throttle body is not regulating airflow properly, affecting acceleration.",CAR-ID:085ea815,Engine
2020_07_07,1fde9bc1-4e71-4b0d-8890-e0304ec2bb9a,Brake Pad Wear,The brake pads have worn down and need replacement.,CAR-ID:83243fc6,Brakes
2021_01_27,8f508a77-399b-41a8-9d5f-c1c5c25455eb,Failing Engine Control Module (ECM),"The ECM is malfunctioning, leading to various engine and performance issues.",CAR-ID:125e885d,Electrical System
2019_10_27,65be7385-8b83-4dd5-95f9-ca2e12f06f1c,Faulty Camshaft Position Sensor,"The camshaft position sensor is malfunctioning, affecting engine timing and performance.",CAR-ID:b39311a4,Engine
2023_01_22,15921cdc-b52f-4e6b-8d44-7a039d4712d5,Malfunctioning Car Alarm,The car alarm is going off randomly or not functioning when needed.,CAR-ID:54cbace0,Electrical System
2020_06_20,1edef1c9-2ac9-443e-80a7-b37c8e6ff6d9,Failing Airbag Control Module,"The control module is not functioning properly, which may affect airbag deployment.",CAR-ID:20081ecd,Safety System
2022_02_23,081b8e5d-4616-439f-bccb-f298270cf6d0,Worn Out Distributor Cap,"The distributor cap is worn or damaged, causing ignition issues.",CAR-ID:df82e012,Ignition System
